"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Edison","EIX","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Edwards Lifesciences","EW","Strong Buy","Strong Sell","Strong Buy","Strong Buy"
"Electronic Arts","EA","Neutral","Strong Sell","Neutral","Strong Buy"
"Eli Lilly","LLY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Emerson","EMR","Buy","Strong Buy","Strong Buy","Strong Buy"
"Entergy","ETR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Envision Healthcare","EVHC","Strong Buy","Strong Buy","Strong Buy","Neutral"
"EOG Resources","EOG","Strong Sell","Sell","Strong Buy","Strong Buy"
"EQT","EQT","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Equifax","EFX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Equinix","EQIX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Equity Residential","EQR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Essex Property","ESS","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Estee Lauder","EL","Strong Sell","Strong Sell","Sell","Strong Buy"
"Everest","RE","Buy","Strong Sell","Strong Sell","Sell"
"Eversource Energy","ES","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Exelon","EXC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Expedia","EXPE","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
